"NAVN","REGISTERENHETID","LAT","LON"
"FAGERNES HOTELL AS",3129320,69.5615396904856,19.185273757571
"SENTRUMHUS AS",3146311,69.648213007648,18.9504318831437
"SEAFOOD TROMSØ AS",3133684,69.6869955349625,18.7339865420323
"KALDFJORD HAND/FISKEF AS",3133714,69.6870221655393,18.7353950371162
"D N LUFTFARTSSELSKAP AS",3136310,69.6826974349071,18.9088841789472
"IKAS EIENDOM AS",3136746,69.6754123326095,18.9285773634798
"BENJAMIN AS",3141344,69.670692878562,18.9718083543436
"GLØERSEN OG OLSEN AS",3142233,69.6928950921453,19.0108118449681
"SELMER - SANDE AS",3142251,69.6926018187138,19.0069721395991
"BRØDRENE HARILA TROMSØ AS",3142321,69.6867928333505,19.0038128173152
"SAS INTERNATION. HOTEL AS",3144713,69.6464525383062,18.9365603091962
"PER NYSTAD AS",4098712,69.671957977001,18.9327952183806
"PER NYSTAD AS",4098713,69.6719138216073,18.9327611921948
"PER NYSTAD AS",4098714,69.6719354700683,18.9329977564042
"PER NYSTAD AS",4098715,69.6718823682897,18.9329620709183
"PER NYSTAD AS",4098716,69.6718362001477,18.933418608385
"PER NYSTAD AS",4098717,69.6718032985935,18.9332833130427
"PER NYSTAD AS",4098718,69.6717467359412,18.9334020174139
"PER NYSTAD AS",4098719,69.671702580667,18.9333679903188
"PER NYSTAD AS",4098720,69.6719256516899,18.9326341912531
"PER NYSTAD AS",4098721,69.6717712678365,18.9335099216819
"TROMSØ FRYSERI & K AS",3128234,69.6498132292752,18.9928123795664
"SCANBOX AS",3136809,69.6728648138021,18.9264000482297
"MASKINENTREPRENØREN AS",3141211,69.6744855060294,18.979677220656
"THON HOTELLBYGG AS",3145110,69.6484313162227,18.9535000963792
"THON HOTELLBYGG AS",3145113,69.6484850697594,18.9527099666668
"THON HOTELLBYGG AS",3146144,69.6483541992415,18.9541310079775
"THON HOTELLBYGG AS",4099796,69.6486604271862,18.9536975888302
"THON HOTELLBYGG AS",4173438,69.6482312712185,18.9540048773508
"THON HOTELLBYGG AS",4173439,69.6482312712185,18.9540048773508
"THON HOTELLBYGG AS",4173440,69.6482312712185,18.9540048773508
"THON HOTELLBYGG AS",4173441,69.6482312712185,18.9540048773508
"THON HOTELLBYGG AS",4173442,69.6482312712185,18.9540048773508
"THON HOTELLBYGG AS",4173443,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179775,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179776,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179777,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179778,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179779,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179780,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179781,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179782,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179783,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179784,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179785,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179786,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179787,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179788,69.6483202322778,18.9532471205355
"THON HOTELLBYGG AS",4179789,69.6483202322778,18.9532471205355
"SHELL DRIFT OG EIENDOM AS",3142221,69.6995097229961,19.0193611804081
"NORSKE SHELL AS",3125168,69.6975942637985,19.0795275103107
"NORSKE SHELL AS",3126982,69.6440480664412,18.9828254680806
"NORSKE SHELL AS",3127219,69.644162611409,18.982924365058
"Antek AS",3262459,69.7231960641999,19.0978196758315
"Antek AS",3303755,69.7231315764055,19.098273477913
"Antek AS",3331655,69.634070281706,18.9632609557638
"Antek AS",3331656,69.6339250407171,18.9632080776351
"Antek AS",3331657,69.6338526010105,18.9630346505488
"Antek AS",3564297,69.8255157275055,19.016767618866
"Antek AS",3564298,69.8256825375879,19.0175309061643
"Antek AS",3564299,69.8256049591349,19.0184921963448
"Antek AS",3564300,69.8252550956134,19.0170874610698
"Antek AS",3564301,69.8253041502625,19.0179323653569
"Antek AS",3564302,69.8253728902708,19.0188200792255
"Antek AS",3564303,69.8249221037619,19.017310183806
"Antek AS",3564304,69.8249552718562,19.0178266814538
"Antek AS",3564306,69.8251270982403,19.0191193039242
"Antek AS",3564307,69.8246883659469,19.0176325444704
"Antek AS",3564308,69.8249081060412,19.0187937481307
"Antek AS",3564309,69.8249428133059,19.0192819109644
"Antek AS",3564310,69.8244713288281,19.0179711022126
"Antek AS",3564311,69.8246207440962,19.0188273434214
"Antek AS",3564312,69.8247358299396,19.0195338805241
"Antek AS",3564313,69.8242533867555,19.0182704384534
"Antek AS",3564314,69.8243364989384,19.0186845430257
"Antek AS",3577307,69.8243626439401,19.0192725657128
"JÆGER AUTOMOBIL AS",3126451,69.6667657318621,19.0246790349865
"HOME HOTELL AS",3146583,69.6505223420747,18.9595683664856
"RØNNINGSBAKK EIENDOM AS",3138857,69.6333854339871,18.922639348659
"ICA DISTRIBUSJON AS",3138405,69.6309396318388,18.9231421985995
"THON KJØPESENTER VEST AS",3127951,69.6399623232932,18.9708618605299
"THON KJØPESENTER VEST AS",3128222,69.6405061729581,18.9730276386407
"Eide Handel AS",4164826,69.6316154482672,18.926258537596
"STAMVEIEN 1 EIENDOM AS",3142412,69.6845031603387,19.0045437950523
"SALMAR FARMING AS",3133347,69.8414325731558,18.8064304889303
"DDB AS",3135528,69.6975938007103,18.9788187308247
"DDB AS",3135530,69.6979582483526,18.9789906826484
"DDB AS",3135531,69.6981371663786,18.9790242958731
"DDB AS",3135533,69.6985319532361,18.9790467215289
"DDB AS",3135534,69.6987108712382,18.9790803362598
"DDB AS",3135535,69.6988903728542,18.9790881883764
"DDB AS",3135536,69.699078820366,18.9790977214562
"DDB AS",3135537,69.699246457895,18.9792327113887
"DDB AS",3135545,69.699461308123,18.9820415565357
"DDB AS",3135546,69.6995610654118,18.9823966727071
"DDB AS",3135550,69.70009529644,18.9822125163713
"DDB AS",3135554,69.7001217394048,18.9816404886472
"DDB AS",3135561,69.6990231784624,18.9799669236741
"DDB AS",3135575,69.6989012457907,18.9805908596556
